Index,Date,pressure,temperatureMin,temperatureLow,temperatureMax,temperatureHigh,cloudCover,windSpeed,precipProbability,windGust,windBearing,uvIndex,precipIntensityMax,precipIntensity,ozone,visibility,moonPhase,class
153,9/13/2019,1008.1,76.5,78.84,86.71,86.71,0.99,9.8,0.83,18.15,163,5,0.0434,0.0129,257.1,9.65,0.48,1
154,9/13/2019,1008,77.19,79.07,86.42,86.42,0.98,9.74,0.79,18.09,162,5,0.0364,0.0105,256.9,9.8,0.48,1
155,9/13/2019,1008.1,76.43,78.85,86.59,86.59,0.99,9.8,0.83,18.13,163,5,0.0435,0.0125,257,9.658,0.48,1
156,9/13/2019,1008,75.74,78.78,86.43,86.43,0.99,9.84,0.81,18.39,162,5,0.0393,0.0114,257,9.694,0.48,1
157,9/13/2019,1007.6,75.86,78.85,86.18,86.18,0.98,9.79,0.78,18.08,161,5,0.0318,0.01,256.9,9.782,0.48,0
158,9/13/2019,1007.6,77.38,79.18,86.18,86.18,0.99,9.77,0.82,18.14,163,5,0.042,0.0117,256.9,9.748,0.48,1
159,9/13/2019,1008.1,76.51,78.76,86.66,86.66,0.99,9.76,0.84,18.1,163,5,0.0471,0.0133,257.1,9.631,0.48,1
160,9/13/2019,1007.6,77.53,79.13,85.48,85.48,0.97,9.45,0.79,18.05,160,5,0.0378,0.0107,256.8,9.77,0.48,1
161,9/13/2019,1007.6,77,79.24,84.72,84.72,0.95,9.12,0.73,18,155,5,0.0244,0.0085,256.8,9.578,0.48,1
162,9/14/2019,1007.2,78.84,78.72,89.97,89.97,0.94,8,0.49,15.9,165,5,0.0339,0.0055,260.9,10,0.51,1
163,9/14/2019,1007.2,79.07,78.78,90.14,90.14,0.91,7.92,0.52,15.88,165,5,0.0371,0.0069,260.8,10,0.51,1
164,9/14/2019,1007.2,78.85,78.71,89.98,89.98,0.93,7.99,0.49,15.94,165,5,0.0342,0.0056,260.9,10,0.51,1
165,9/14/2019,1007.2,78.78,78.32,90.06,90.06,0.93,7.99,0.51,16.02,165,5,0.0399,0.0062,260.9,10,0.51,1
166,9/14/2019,1006.8,78.85,78.36,90.2,90.2,0.91,7.89,0.54,15.82,165,5,0.0395,0.0076,260.7,10,0.51,0
167,9/14/2019,1006.9,79.18,78.88,89.73,89.73,0.93,7.99,0.5,15.98,165,5,0.0364,0.0058,260.9,10,0.51,0
168,9/14/2019,1007.3,78.76,78.75,90.01,90.01,0.94,7.99,0.48,15.88,165,5,0.0292,0.005,260.9,10,0.51,0
169,9/14/2019,1006.9,79.13,79.19,89.87,89.87,0.89,7.82,0.52,15.71,167,6,0.0303,0.0071,260.6,10,0.51,1
170,9/14/2019,1006.8,79.24,79.25,90.01,90.01,0.84,7.6,0.57,15.4,170,6,0.0546,0.0097,260.4,9.822,0.51,1
171,9/15/2019,1005.7,78.72,79.32,93.55,93.55,0.92,7.34,0.72,18.48,180,6,0.0441,0.0115,258.8,9.93,0.54,1
172,9/15/2019,1005.7,78.78,79.36,93.59,93.59,0.91,7.05,0.75,18.12,181,6,0.0457,0.013,258.7,9.914,0.54,1
173,9/15/2019,1005.7,78.71,79.3,93.57,93.57,0.92,7.2,0.73,18.54,180,6,0.0446,0.0123,258.8,9.911,0.54,1
174,9/15/2019,1005.7,78.32,78.94,93.89,93.89,0.92,7.13,0.73,18.79,180,6,0.038,0.012,258.8,9.901,0.54,1
175,9/15/2019,1005.2,78.36,78.98,93.85,93.85,0.91,7.09,0.75,17.87,182,6,0.0435,0.0128,258.7,9.927,0.54,1
176,9/15/2019,1005.3,78.88,79.49,93.51,93.51,0.92,7.17,0.73,18.65,180,6,0.0421,0.0122,258.8,9.906,0.54,1
177,9/15/2019,1005.8,78.75,79.36,93.63,93.63,0.91,7.25,0.73,18.33,179,6,0.0509,0.0127,258.8,9.914,0.54,1
178,9/15/2019,1005.3,79.19,79.79,93.55,93.55,0.87,7,0.77,17.09,182,6,0.0695,0.0147,258.6,9.897,0.54,1
179,9/15/2019,1005.2,79.25,80.07,93.4,93.4,0.8,6.63,0.8,15.57,184,7,0.0817,0.0168,258.5,9.19,0.54,1
180,9/16/2019,1005.2,79.32,77.99,93,93,0.86,6.5,0.9,14.01,179,7,0.1298,0.0209,261.3,9.702,0.57,1
181,9/16/2019,1005.1,79.36,77.84,92.97,92.97,0.89,6.36,0.92,13.94,178,7,0.14,0.0236,261.2,9.626,0.57,1
182,9/16/2019,1005.1,79.3,78.7,93.05,93.05,0.87,6.46,0.91,14.17,179,7,0.137,0.0221,261.3,9.658,0.57,1
183,9/16/2019,1005.1,78.94,78.45,93.33,93.33,0.89,6.41,0.92,14.67,179,7,0.1407,0.0246,261.3,9.641,0.57,1
